Game URL,Vote_precentage
https://www.roblox.com/games/6075270490/Teamwork-Puzzles?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6075270490&position=46&universeId=2204432936,82%
https://www.roblox.com/games/3260590327/Tower-Defense-Simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3260590327&position=47&universeId=1176784616,94%
https://www.roblox.com/games/6507422231/Twilight-Daycare-Hugs?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6507422231&position=48&universeId=2435789930,89%
https://www.roblox.com/games/192800/Work-at-a-Pizza-Place?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=192800&position=49&universeId=47545,92%
https://www.roblox.com/games/9103898828/BEAST-Rogue-Demon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=9103898828&position=50&universeId=3421408084,81%
https://www.roblox.com/games/4616652839/Shinobi-Life-2?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4616652839&position=51&universeId=1511883870,93%
https://www.roblox.com/games/8712817601/BARRYS-PRISON-RUN-FIRST-PERSON-OBBY?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8712817601&position=52&universeId=3310460039,59%
https://www.roblox.com/games/3623096087/Muscle-Legends?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3623096087&position=53&universeId=1268927906,87%
https://www.roblox.com/games/4566572536/Vehicle-Legends?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4566572536&position=54&universeId=1480782352,93%
https://www.roblox.com/games/4282985734/Combat-Warriors?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4282985734&position=55&universeId=1390601379,84%
