name,creator,likes,active_players,favorites,visits,created_date,update_date,genre,server_size,url
GameCraft HUB Game 3,@freddyDK12,66%,0,0,254,03/11/2015,6/29/2015,Adventure,12,https://www.roblox.com/games/225537760/GameCraft-HUB-Game-3?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=225537760&position=3895&universeId=98212092
Random Game Modes,@Carma1008,66%,0,4,114,2/26/2015,3/13/2018,All Genres,15,https://www.roblox.com/games/220655191/Random-Game-Modes?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=220655191&position=3894&universeId=97057163
Fun Game,@dugger777,Unknown vote percentage,0,1,123,7/25/2017,7/25/2017,All Genres,10,https://www.roblox.com/games/937677158/Fun-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=937677158&position=3897&universeId=390323310
Donate Game ,@AceKahuna,Unknown vote percentage,0,0,6,3/21/2023,3/21/2023,All Genres,6,https://www.roblox.com/games/12854039548/Donate-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12854039548&position=3896&universeId=4499471437
Free For all Gameand Kill zombie,@CMjessie01o,42%,0,15,556,5/18/2016,06/07/2017,All Genres,10,https://www.roblox.com/games/416101105/Free-For-all-Game-and-Kill-zombie?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=416101105&position=3898&universeId=157560271
Car testing game,@Gregorio97,Unknown vote percentage,0,0,54,9/27/2017,9/27/2017,All Genres,10,https://www.roblox.com/games/1072795950/Car-testing-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1072795950&position=3899&universeId=445064933
A bad fighting game new stage,@SEBIS567,100%,0,1,77,1/16/2020,1/17/2020,Fighting,10,https://www.roblox.com/games/4604129248/A-bad-fighting-game-new-stage?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4604129248&position=3900&universeId=1503846424
Roblox Assault Games Beta,@BaeHacks,100%,0,1,13,02/06/2016,3/26/2016,FPS,12,https://www.roblox.com/games/359822129/Roblox-Assault-Games-Beta?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=359822129&position=3901&universeId=136541148
Untitled Game,@alex17398,0%,0,1,21,04/11/2020,04/11/2020,All Genres,10,https://www.roblox.com/games/4887222688/Untitled-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4887222688&position=3902&universeId=1667911612
Game 2 PREALPHA,@ThreeGears,100%,0,1,56,2/27/2016,2/21/2018,Adventure,1,https://www.roblox.com/games/373304945/Game-2-PRE-ALPHA?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=373304945&position=3903&universeId=140652496
Mad Games V3,@abuchamp123,100%,0,6,53,12/13/2016,12/15/2016,All Genres,10,https://www.roblox.com/games/573545820/Mad-Games-V-3?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=573545820&position=3904&universeId=228139414
Survival Games,@ladyonline1,0%,0,1,167,10/20/2018,10/21/2018,Fighting,10,https://www.roblox.com/games/2500853959/Survival-Games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2500853959&position=3905&universeId=884126767
Survive The Story Game Killers,@shidori_lxi,Unknown vote percentage,0,3,123,08/12/2019,10/06/2019,All Genres,22,https://www.roblox.com/games/3639090686/Survive-The-Story-Game-Killers?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3639090686&position=3907&universeId=1272939652
game night  fight,Cookie V Army,80%,0,0,78,10/16/2018,10/18/2018,All Genres,50,https://www.roblox.com/games/2492836026/game-night-fight?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2492836026&position=3906&universeId=880404618
Kids GameEXE,@Eorror66,0%,0,0,490,7/22/2018,7/22/2018,Horror,10,https://www.roblox.com/games/2112440413/Kids-Game-EXE?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2112440413&position=3908&universeId=740211389
Admin game Tycoon,@RaceWinnerDark,66%,0,1,68,9/20/2018,10/02/2018,All Genres,10,https://www.roblox.com/games/2379193333/Admin-game-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2379193333&position=3909&universeId=833716015
Random game,@imacatnamedmax,Unknown vote percentage,0,0,13,8/23/2018,8/18/2019,Comedy,30,https://www.roblox.com/games/2255111403/Random-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2255111403&position=3910&universeId=783159832
MiniGames RoyaleNEW,@alex_girl678,Unknown vote percentage,0,0,10,3/26/2018,3/26/2018,Adventure,15,https://www.roblox.com/games/1547388498/MiniGames-Royale-NEW?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1547388498&position=3911&universeId=604095327
NEW UPDATE AFK Donation Game,@TheBrotherAdonis,100%,0,2,51,6/28/2022,07/03/2022,All Genres,100,https://www.roblox.com/games/10047823291/NEW-UPDATE-AFK-Donation-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10047823291&position=3912&universeId=3697227879
Colrem Create A Fun Game,@Colrem,50%,0,1,280,04/09/2018,04/09/2018,Comedy,20,https://www.roblox.com/games/1596923459/Colrem-Create-A-Fun-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1596923459&position=3913&universeId=618614415
THE GAME,@MixApfel,Unknown vote percentage,0,0,17,5/22/2017,8/14/2017,All Genres,10,https://www.roblox.com/games/832873911/THE-GAME?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=832873911&position=3916&universeId=344692370
Mega Gaming Hangout,Mega Gaming Group,50%,0,1,21,04/12/2017,4/24/2017,Town and City,50,https://www.roblox.com/games/734772855/Mega-Gaming-Hangout?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=734772855&position=3914&universeId=321625455
Natural Game Night,Natural°,100%,0,3,12,12/02/2016,06/10/2017,All Genres,10,https://www.roblox.com/games/562578954/Natural-Game-Night?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=562578954&position=3915&universeId=222507676
friday the 13th the game,@Gamingwithk18,100%,0,1,45,3/30/2018,04/06/2018,Horror,10,https://www.roblox.com/games/1561029925/friday-the-13th-the-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1561029925&position=3917&universeId=607531401
Mad Murder Games Mad Murder Games,@Q536,Unknown vote percentage,0,5,477,05/05/2018,05/05/2018,All Genres,10,https://www.roblox.com/games/1718469628/Mad-Murder-Games-Mad-Murder-Games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1718469628&position=3919&universeId=645703790
the worst fighting game ever,@skylandersispopfizz,50%,0,0,31,11/24/2018,11/24/2018,All Genres,20,https://www.roblox.com/games/2596913230/the-worst-fighting-game-ever?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2596913230&position=3920&universeId=930712176
FFA Or Team Game,@DeWaeIsRight,100%,0,1,20,04/04/2018,04/04/2018,All Genres,12,https://www.roblox.com/games/1581452539/FFA-Or-Team-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1581452539&position=3921&universeId=613897865
Games Unite Testing Place,@medmax22,0%,0,3,432,09/01/2019,7/25/2020,All Genres,10,https://www.roblox.com/games/3776529023/Games-Unite-Testing-Place?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3776529023&position=3922&universeId=1303520712
NEW GAME Best Tycoon,@wiktor3934,50%,0,2,100,11/30/2018,11/30/2018,All Genres,4,https://www.roblox.com/games/2610033968/NEW-GAME-Best-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2610033968&position=3918&universeId=936369248
war forever new game free for 5days,@XxfamiliasuricatoxX,Unknown vote percentage,0,2,101,7/19/2018,7/19/2018,All Genres,10,https://www.roblox.com/games/2102413900/war-forever-new-game-free-for-5days?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2102413900&position=3924&universeId=736833951
new game join cool game beta,@dudengamer6,100%,0,2,38,06/07/2019,06/07/2019,All Genres,25,https://www.roblox.com/games/3270836422/new-game-join-cool-game-beta?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3270836422&position=3923&universeId=1179686656
Old Mad Games,@GuapIcy,100%,0,0,33,7/25/2019,7/25/2019,All Genres,16,https://www.roblox.com/games/3529590058/Old-Mad-Games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3529590058&position=3925&universeId=1248448623
Ta Fun Game,@DabOnTheDab12,100%,0,0,66,12/07/2017,12/07/2017,All Genres,10,https://www.roblox.com/games/1226982532/Ta-Fun-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1226982532&position=3927&universeId=499398453
Game russia,Group Russia;),Unknown vote percentage,0,0,24,08/10/2022,11/23/2022,All Genres,6,https://www.roblox.com/games/10549904484/Game-russia?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=10549904484&position=3928&universeId=3834053533
Donation Game,@OTemporario,Unknown vote percentage,0,0,2,3/23/2023,3/23/2023,All Genres,6,https://www.roblox.com/games/12876309715/Donation-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12876309715&position=3929&universeId=4506689708
TheOneAndOnlyGame,TheOneAndOnlyNoobs :),80%,0,6,251,11/05/2022,04/09/2023,All Genres,34,https://www.roblox.com/games/11469980041/TheOneAndOnlyGame?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=11469980041&position=3926&universeId=4077497239
scary game,@kap9971,Unknown vote percentage,0,0,9,07/06/2020,3/23/2023,Horror,50,https://www.roblox.com/games/5295640038/scary-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=5295640038&position=3930&universeId=1854501987
untitled head legs game,@TABBYSRULE123,100%,0,2,10,2/13/2023,2/13/2023,Comedy,15,https://www.roblox.com/games/12473866372/untitled-head-legs-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12473866372&position=3931&universeId=4385647596
The Game Trade hangout,@zionstewart01,33%,0,0,185,9/18/2018,12/22/2019,All Genres,10,https://www.roblox.com/games/2369075619/The-Game-Trade-hangout?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2369075619&position=3933&universeId=829701557
GD Game Dev Application Form,[GD] Game Devs,50%,0,2,89,9/30/2017,10/04/2017,All Genres,20,https://www.roblox.com/games/1079187460/GD-Game-Dev-Application-Form?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1079187460&position=3932&universeId=447457606
Welcome To BloxPlay A Roleplay Game,@miner2112345,100%,0,1,101,2/28/2018,06/10/2018,All Genres,10,https://www.roblox.com/games/1466008405/Welcome-To-BloxPlay-A-Roleplay-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1466008405&position=3934&universeId=580445299
The AFK Game,Daz Builders,100%,0,0,36,3/21/2023,3/29/2023,All Genres,100,https://www.roblox.com/games/12851947601/The-AFK-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12851947601&position=3935&universeId=4498745968
Starters game read desc,@crystalconcal,50%,0,3,14,3/20/2019,8/26/2022,Building,100,https://www.roblox.com/games/2980019261/Starters-game-read-desc?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2980019261&position=3936&universeId=1076101906
Training game,The cool man group and women and child and...Every,100%,0,1,37,01/06/2020,01/12/2020,Military,10,https://www.roblox.com/games/4579685454/Training-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4579685454&position=3937&universeId=1488709188
Friday the 13th The Game,@Djackson2004,50%,0,5,720,11/16/2017,11/17/2017,All Genres,10,https://www.roblox.com/games/1179268481/Friday-the-13th-The-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1179268481&position=3938&universeId=483452469
Catching Fire The Hunger Games,@Vaedeer,72%,0,113,8647,11/27/2013,10/24/2017,All Genres,24,https://www.roblox.com/games/136670614/Catching-Fire-The-Hunger-Games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=136670614&position=3939&universeId=63272715
CRANOS Hangout Game  Vr Support Beta,CRANOS,100%,0,0,8,3/20/2023,3/20/2023,Town and City,6,https://www.roblox.com/games/12843074474/CRANOS-Hangout-Game-Vr-Support-Beta?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12843074474&position=3940&universeId=4495905930
MAD GAMES 26,@thehelpboy,80%,0,4,194,12/09/2015,1/13/2016,All Genres,10,https://www.roblox.com/games/329422313/MAD-GAMES-2-6?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=329422313&position=3941&universeId=122391566
FREE VIP FOR PREMIUM RoBeats MMO Rhythm Game,@isburst1,5%,0,3,824,09/01/2019,7/25/2020,All Genres,10,https://www.roblox.com/games/3772816978/FREE-VIP-FOR-PREMIUM-RoBeats-MMO-Rhythm-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3772816978&position=3942&universeId=1302403656
Mad Games ,@kaza8lanka,58%,0,20,638,7/24/2017,7/28/2017,All Genres,10,https://www.roblox.com/games/935344313/Mad-Games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=935344313&position=3943&universeId=389427998
Mini games,@lollieholly5637,0%,0,0,203,06/08/2014,07/07/2015,Adventure,40,https://www.roblox.com/games/160448009/Mini-games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=160448009&position=3944&universeId=76550659
Halloween Special Game,@zergamerninja123,100%,0,5,236,1/15/2018,11/02/2018,All Genres,3,https://www.roblox.com/games/1331422743/Halloween-Special-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1331422743&position=3945&universeId=535960720
Horrible game simulator,@legominer40276,57%,0,12,529,03/10/2013,2/15/2017,All Genres,50,https://www.roblox.com/games/109076285/Horrible-game-simulator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=109076285&position=3946&universeId=42839377
games admin Update,@NaTaboy800,66%,0,3,30,10/16/2018,11/10/2018,All Genres,11,https://www.roblox.com/games/2491289574/games-admin-Update?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2491289574&position=3948&universeId=879940480
NEW Game Dev Tycoon,@MrManFriend1,12%,0,2,396,6/27/2019,08/03/2019,Adventure,10,https://www.roblox.com/games/3377479343/NEW-Game-Dev-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3377479343&position=3947&universeId=1208744414
The Admin Game,@Lazyeye_12,66%,0,11,615,8/16/2017,6/27/2018,All Genres,10,https://www.roblox.com/games/984764142/The-Admin-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=984764142&position=3950&universeId=408975015
Untitled Sad Game,@FelitoWoollyRBX,100%,0,1,64,4/20/2020,4/20/2020,Town and City,10,https://www.roblox.com/games/4923073960/Untitled-Sad-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=4923073960&position=3949&universeId=1686005112
THIS GAME IS HORRIBLE,@TinyLittleDogArm,50%,0,1,2,4/24/2018,6/16/2018,Horror,10,https://www.roblox.com/games/1665329683/THIS-GAME-IS-HORRIBLE?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1665329683&position=3951&universeId=635275306
gamer game D,@Gamersansvn1234,Unknown vote percentage,0,2,16,7/16/2017,7/17/2017,Building,10,https://www.roblox.com/games/919822244/gamer-game-D?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=919822244&position=3952&universeId=383017954
Gun Game,@seankillio,100%,0,2,364,02/09/2017,12/05/2017,All Genres,50,https://www.roblox.com/games/647058188/Gun-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=647058188&position=3954&universeId=270324698
My best game in my account,@DrDavidBlox123,50%,0,4,110,11/07/2017,11/07/2017,All Genres,10,https://www.roblox.com/games/1161529344/My-best-game-in-my-account?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1161529344&position=3953&universeId=476909542
Best Game Mixed with other Games,@clashking912,Unknown vote percentage,0,1,2,07/12/2017,06/04/2018,All Genres,10,https://www.roblox.com/games/913500756/Best-Game-Mixed-with-other-Games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=913500756&position=3955&universeId=380519178
VIDEO GAME TYCOON,@rymageddon,66%,0,6,973,12/12/2016,11/21/2018,Fighting,4,https://www.roblox.com/games/573115153/VIDEO-GAME-TYCOON?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=573115153&position=3957&universeId=227897253
gotta have a game,@BlackNightWisper09,80%,0,2,107,8/27/2017,01/04/2022,All Genres,20,https://www.roblox.com/games/1006879536/gotta-have-a-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1006879536&position=3956&universeId=417598110
NEW GAME PASS fight to be the winner,@sultanelkilani,100%,0,4,9,8/28/2017,10/15/2017,Fighting,10,https://www.roblox.com/games/1009787644/NEW-GAME-PASS-fight-to-be-the-winner?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1009787644&position=3958&universeId=418736274
EPIC racing game,@superiorjammywammy,Unknown vote percentage,0,0,11,06/02/2017,06/02/2017,All Genres,4,https://www.roblox.com/games/847245041/EPIC-racing-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=847245041&position=3959&universeId=350764285
my game,@Meleetz,Unknown vote percentage,0,0,66,7/16/2018,7/16/2018,All Genres,10,https://www.roblox.com/games/2090188088/my-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2090188088&position=3960&universeId=733634099
The War Game Update Bugs Fix,@Fabri29PvPLike,100%,0,2,179,12/27/2017,12/27/2017,Fighting,6,https://www.roblox.com/games/1276098675/The-War-Game-Update-Bugs-Fix?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1276098675&position=3962&universeId=517532385
TriggerFPS Game Testing,@bullygest,Unknown vote percentage,0,1,3,9/28/2018,10/02/2018,FPS,12,https://www.roblox.com/games/2412436397/Trigger-FPS-Game-Testing?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2412436397&position=3961&universeId=846920636
racing games,@candygirlgamer234,75%,0,5,1393,11/08/2016,11/13/2016,All Genres,10,https://www.roblox.com/games/540257398/racing-games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=540257398&position=3964&universeId=212162815
Elemental Grind Game,@actualgarbagegirl,0%,0,3,465,6/28/2018,7/24/2020,All Genres,10,https://www.roblox.com/games/2015153359/Elemental-Grind-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2015153359&position=3963&universeId=711900424
Demoned iced Hard shot game,@abrahamgames390,Unknown vote percentage,0,0,0,12/26/2018,02/12/2020,All Genres,10,https://www.roblox.com/games/2682448232/Demoned-iced-Hard-shot-game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2682448232&position=3965&universeId=967571482
epic games,@shywalker24,Unknown vote percentage,0,0,7,6/27/2018,6/27/2018,All Genres,31,https://www.roblox.com/games/2008178098/epic-games?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=2008178098&position=3967&universeId=710099994
DOORS HANGOUTGAME,@YamanXGamerzz,Unknown vote percentage,0,0,4,3/21/2023,3/22/2023,Adventure,6,https://www.roblox.com/games/12859214060/DOORS-HANGOUT-GAME?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12859214060&position=3966&universeId=4501067328
BIG SHOP GAME SUPPORT GROUP,YOUNI'S GROUP,100%,0,4,24,2/19/2023,3/23/2023,All Genres,6,https://www.roblox.com/games/12542733381/BIG-SHOP-GAME-SUPPORT-GROUP?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12542733381&position=3968&universeId=4406170465
Our Awesome Game,GameWinners,Unknown vote percentage,0,1,30,09/05/2016,09/05/2016,All Genres,20,https://www.roblox.com/games/496889871/Our-Awesome-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=496889871&position=3970&universeId=191509499
Capture The Flag New Game,@JH0529,0%,0,0,17,8/29/2017,8/29/2017,Fighting,12,https://www.roblox.com/games/1010783714/Capture-The-Flag-New-Game?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1010783714&position=3969&universeId=419081928
BloxaCity NEW GAME,@Emilylovesherself,75%,0,5,189,08/05/2017,08/05/2017,Town and City,10,https://www.roblox.com/games/960424651/BloxaCity-NEW-GAME?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=960424651&position=3971&universeId=399736963
