name,creator,likes,active_players,favorites,visits,created_date,update_date,genre,server_size,url
Teamwork Puzzles 2 Obby,Pear Pressure,90%,"14,930","70,434",58228646,2/28/2023,05/10/2023,Adventure,12,https://www.roblox.com/games/12641272458/Teamwork-Puzzles-2-Obby?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12641272458&position=26&universeId=4434803478
Build A Boat For Treasure,Chillz Studios,93%,"20,535","6,970,887",3130296942,11/02/2016,04/12/2023,Adventure,7,https://www.roblox.com/games/537413528/Build-A-Boat-For-Treasure?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=537413528&position=28&universeId=210851291
Catalog Avatar Creator,@ItsMuneeeb,87%,"22,923","2,083,968",1024556108,07/03/2021,05/11/2023,All Genres,24,https://www.roblox.com/games/7041939546/Catalog-Avatar-Creator?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7041939546&position=29&universeId=2711375305
AC130 Military Tycoon,InfinityInteractive,93%,"9,114","1,473,692",488438598,7/31/2021,05/11/2023,Fighting,14,https://www.roblox.com/games/7180042682/AC130-Military-Tycoon?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7180042682&position=24&universeId=2788648141
Red Light Green Light,slugfo,80%,"2,748","1,456,217",576386231,9/23/2021,3/21/2023,Horror,100,https://www.roblox.com/games/7540891731/Red-Light-Green-Light?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=7540891731&position=32&universeId=2931829660
Color Hide and Seek,BlueBirdStudio,79%,"2,623","67,834",48187966,3/14/2023,05/09/2023,All Genres,14,https://www.roblox.com/games/12781347095/Color-Hide-and-Seek?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12781347095&position=30&universeId=4476373373
NEW POLICE GIRL PRISON RUN Obby,Grandma obbies,43%,"6,261","17,091",30852911,02/05/2023,05/09/2023,All Genres,6,https://www.roblox.com/games/12392649239/NEW-POLICE-GIRL-PRISON-RUN-Obby?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12392649239&position=35&universeId=4361156212
PLS DONATE ,@haz3mn,93%,"22,730","1,816,783",1113172908,02/05/2022,05/09/2023,All Genres,28,https://www.roblox.com/games/8737602449/PLS-DONATE?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=8737602449&position=33&universeId=3317679266
Slap Battles,@Tencelll,83%,"18,198","1,316,577",942467051,2/16/2021,05/11/2023,Fighting,14,https://www.roblox.com/games/6403373529/UPDATE-Slap-Battles?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=6403373529&position=34&universeId=2380077519
Tower of Hell,YXCeptional Studios,75%,"17,664","10,615,237",20663702488,6/18/2018,3/22/2023,Adventure,20,https://www.roblox.com/games/1962086868/Tower-of-Hell?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=1962086868&position=38&universeId=703124385
NEW Color or Die ,Solo Un-Interactive,68%,"27,054","117,708",28018483,3/29/2023,05/11/2023,Adventure,15,https://www.roblox.com/games/12931609417/NEW-Color-or-Die?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=12931609417&position=37&universeId=4523856444
Warrior Cats Ultimate Edition,WarriorCatsRP,93%,"6,988","988,316",319115738,8/15/2019,05/11/2023,RPG,60,https://www.roblox.com/games/3663340706/Warrior-Cats-Ultimate-Edition?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3663340706&position=39&universeId=1278035280
Jailbreak,Badimo,88%,"10,983","17,810,690",6290840693,01/06/2017,05/03/2023,Town and City,30,https://www.roblox.com/games/606849621/Jailbreak?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=606849621&position=42&universeId=245662005
Break In Story,@Cracky4,90%,"7,489","3,513,361",1960548744,09/09/2019,4/27/2022,All Genres,45,https://www.roblox.com/games/3851622790/Break-In-Story?gameSearchSessionInfo=17ad17e6-267e-407f-960b-6d3eff6ebb15&isAd=false&nativeAdData=&numberOfLoadedTiles=5989&page=searchPage&placeId=3851622790&position=40&universeId=1318971886
